index,title,random_sentence,url,categories
113,Architecture et Humanisme,« Humaniste » est un qualificatif qu'à la Renaissance on attribue à tout ce qui est constitué avec une même vision symbolique (chrétienne) du monde.,fr.wikipedia.org/wiki/Architecture_et_Humanisme,"Catégorie:Article avec une section vide ou incomplète, Catégorie:Article manquant de références/Liste complète, Catégorie:Article manquant de références depuis septembre 2011, Catégorie:Article à référence nécessaire, Catégorie:Article à référence souhaitée, Catégorie:Portail:Architecture et urbanisme/Articles liés, Catégorie:Portail:Arts/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Histoire de l'art/Articles liés, Catégorie:Portail:Philosophie/Articles liés, Catégorie:Portail:Sciences humaines et sociales/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Théorie de l'architecture, Catégorie:Wikipédia:ébauche architecture, Catégorie:Wikipédia:ébauche philosophie"
114,Angelo Tarchi (homme politique),Il fut ministre de l'Économie corporative de la République sociale italienne et conseiller municipal de Milan.,fr.wikipedia.org/wiki/Angelo_Tarchi_(homme_politique),"Catégorie:Article utilisant l'infobox Biographie2, Catégorie:Article utilisant l'infobox Biographie2 avec la charte personnalité politique, Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Biographie, Catégorie:Décès en février 1974, Catégorie:Décès à 77 ans, Catégorie:Décès à Milan, Catégorie:Député de la XXIXe législature du royaume d'Italie, Catégorie:Député de la XXXe législature du royaume d'Italie, Catégorie:Ministre italien, Catégorie:Naissance en février 1897, Catégorie:Naissance à Borgo San Lorenzo, Catégorie:Page utilisant P102, Catégorie:Page utilisant P106, Catégorie:Page utilisant P19, Catégorie:Page utilisant P20, Catégorie:Page utilisant P27, Catégorie:Page utilisant P39, Catégorie:Page utilisant P569, Catégorie:Page utilisant P570, Catégorie:Personnalité de la République sociale italienne, Catégorie:Personnalité du Parti national fasciste, Catégorie:Personnalité politique italienne du XXe siècle, Catégorie:Portail:Biographie/Articles liés/Politique, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Italie/Articles liés, Catégorie:Portail:Politique/Articles liés, Catégorie:Portail:Politique en Italie/Articles liés, Catégorie:Wikipédia:Article biographique, Catégorie:Wikipédia:ébauche histoire, Catégorie:Wikipédia:ébauche personnalité politique italienne"
115,Thriller (genre),Le hasard périlleux et les confrontations violentes sont également des éléments standards d'une intrigue de thriller.,fr.wikipedia.org/wiki/Thriller_(genre),"Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article utilisant le modèle Dictionnaires inactif, Catégorie:Catégorie Commons avec lien local différent sur Wikidata, Catégorie:Genre cinématographique, Catégorie:Genre et forme littéraire, Catégorie:Littérature policière, Catégorie:Page utilisant un modèle Bases inactif, Catégorie:Portail:Cinéma/Articles liés, Catégorie:Portail:Littérature/Articles liés, Catégorie:Portail:Médias/Articles liés, Catégorie:Portail:Polar/Articles liés, Catégorie:Portail:Télévision/Articles liés, Catégorie:Thriller"
116,Gérald Alexis,"Il est l'auteur de deux ouvrages : Peintres haïtiens (2000) et Pour que vive la ligne : Tebó, une œuvre picturale (1995).",fr.wikipedia.org/wiki/G%C3%A9rald_Alexis,"Catégorie:Article utilisant l'infobox Biographie2, Catégorie:Article utilisant l'infobox Biographie2 avec la charte écrivain, Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Biographie, Catégorie:Diaspora haïtienne au Québec, Catégorie:Historien de l'art, Catégorie:Naissance en Haïti, Catégorie:Page utilisant P106, Catégorie:Page utilisant P551, Catégorie:Page utilisant P69, Catégorie:Portail:Amérique/Articles liés, Catégorie:Portail:Amérique centrale/Articles liés, Catégorie:Portail:Amérique du Nord/Articles liés, Catégorie:Portail:Arts/Articles liés, Catégorie:Portail:Biographie/Articles liés/Culture et arts, Catégorie:Portail:Biographie/Articles liés/Entreprises, Catégorie:Portail:Canada/Articles liés, Catégorie:Portail:Caraïbe/Articles liés, Catégorie:Portail:Haïti/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Histoire de l'art/Articles liés, Catégorie:Portail:Québec/Articles liés, Catégorie:Université du Texas à Austin, Catégorie:Wikipédia:Article biographique, Catégorie:Écrivain québécois, Catégorie:Écrivain suivi par le projet Arts littéraires québécois"
117,Parc archéologique,Portail de l’archéologie   Portail des parcs de loisirs   Portail de l’architecture et de l’urbanisme   Portail des musées,fr.wikipedia.org/wiki/Parc_arch%C3%A9ologique,"Catégorie:Musée archéologique, Catégorie:Parc archéologique, Catégorie:Parc ou jardin public, Catégorie:Portail:Architecture et urbanisme/Articles liés, Catégorie:Portail:Archéologie/Articles liés, Catégorie:Portail:Culture/Articles liés, Catégorie:Portail:Musées/Articles liés, Catégorie:Portail:Parcs de loisirs/Articles liés, Catégorie:Portail:Sciences/Articles liés, Catégorie:Portail:Sciences humaines et sociales/Articles liés, Catégorie:Portail:Tourisme/Articles liés, Catégorie:Type de parc de loisirs, Catégorie:Wikipédia:ébauche archéologie, Catégorie:Wikipédia:ébauche tourisme"
119,Wallpaper*,"Wallpaper* est un magazine international de design anglais fondé en 1996 par le journaliste canadien Tyler Brûlé, qui l'a vendu en 1997 à Time Warner.",fr.wikipedia.org/wiki/Wallpaper*,"Catégorie:Ancienne filiale de WarnerMedia, Catégorie:Article utilisant le modèle Dictionnaires inactif, Catégorie:Article utilisant une Infobox, Catégorie:Graphisme, Catégorie:Magazine américain, Catégorie:Magazine britannique, Catégorie:Page utilisant P856, Catégorie:Page utilisant le modèle Autorité inactif, Catégorie:Page utilisant un modèle Bases inactif, Catégorie:Portail:Médias/Articles liés, Catégorie:Portail:Presse écrite/Articles liés, Catégorie:Prix de design, Catégorie:Titre de presse créé en 1996"
120,Salle omnisports Laetitia Nantes,"Après le transfert de CSC Laetitia Nantes dans ses nouveaux locaux, la salle omnisports a été la première salle couverte de Nantes.",fr.wikipedia.org/wiki/Salle_omnisports_Laetitia_Nantes,"Catégorie:Article géolocalisé en France, Catégorie:Article utilisant l'infobox Stade, Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Stade, Catégorie:Page avec coordonnées similaires sur Wikidata, Catégorie:Page avec des cartes, Catégorie:Portail:Architecture et urbanisme/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:France/Articles liés, Catégorie:Portail:Loire-Atlantique/Articles liés, Catégorie:Portail:Nantes/Articles liés, Catégorie:Portail:Pays de la Loire/Articles liés, Catégorie:Portail:Sport/Articles liés, Catégorie:Salle de handball en Pays de la Loire, Catégorie:Salle omnisports à Nantes, Catégorie:Stade portant le nom d'une ville, Catégorie:Wikipédia:ébauche sport, Catégorie:Équipement sportif achevé en 1910"
121,A'urba,Portail de l’architecture et de l’urbanisme   Portail de Bordeaux   Portail de la Nouvelle-Aquitaine,fr.wikipedia.org/wiki/A%27urba,"Catégorie:Agence d'urbanisme, Catégorie:Article avec une section vide ou incomplète, Catégorie:Article manquant de références/Liste complète, Catégorie:Article manquant de références depuis juin 2020, Catégorie:Article utilisant le modèle Dictionnaires inactif, Catégorie:Article utilisant une Infobox, Catégorie:Organisme fondé en 1969, Catégorie:Page utilisant P856, Catégorie:Page utilisant le modèle Autorité inactif, Catégorie:Page utilisant un modèle Bases inactif, Catégorie:Portail:Architecture et urbanisme/Articles liés, Catégorie:Portail:Bordeaux/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:France/Articles liés, Catégorie:Portail:Gironde/Articles liés, Catégorie:Portail:Nouvelle-Aquitaine/Articles liés, Catégorie:Urbanisme à Bordeaux, Catégorie:Wikipédia:ébauche Bordeaux, Catégorie:Wikipédia:ébauche architecture"
122,Überläufer,1951 : Augen der Liebe (de) d'Alfred Braun (également connu sous les titres Zwischen Nacht und Morgen ou Mit den Augen der Liebe),fr.wikipedia.org/wiki/%C3%9Cberl%C3%A4ufer,"Catégorie:Article contenant un appel à traduction en allemand, Catégorie:Cinéma allemand, Catégorie:Cinéma autrichien, Catégorie:Expression allemande, Catégorie:Histoire du cinéma, Catégorie:Liste en rapport avec le cinéma, Catégorie:Portail:Allemagne/Articles liés, Catégorie:Portail:Années 1940/Articles liés, Catégorie:Portail:Autriche/Articles liés, Catégorie:Portail:Cinéma/Articles liés, Catégorie:Portail:Cinéma allemand/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Histoire militaire/Articles liés, Catégorie:Portail:Seconde Guerre mondiale/Articles liés, Catégorie:Portail:XXe siècle/Articles liés, Catégorie:Portail:Époque contemporaine/Articles liés"
123,Retraite par capitalisation,Ce système a obligé les travailleurs à cotiser à des comptes de retraite individuels gérés par des fonds de pension privés.,fr.wikipedia.org/wiki/Retraite_par_capitalisation,"Catégorie:Article contenant un lien mort, Catégorie:Article à précision nécessaire, Catégorie:Portail:Finance/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Portail:Économie/Articles liés, Catégorie:Retraite"
124,Centre d'étude guerre et société,"Très rapidement, une photothèque est créée et rassemble une collection assez unique de clichés sur la Seconde Guerre mondiale.",fr.wikipedia.org/wiki/Centre_d%27%C3%A9tude_guerre_et_soci%C3%A9t%C3%A9,"Catégorie:Archives de l'État (Belgique), Catégorie:Article géolocalisé en Belgique, Catégorie:Article géolocalisé sur Terre, Catégorie:Article manquant de références/Liste complète, Catégorie:Article manquant de références depuis décembre 2017, Catégorie:Article utilisant une Infobox, Catégorie:Centre ou institut de recherche en histoire, Catégorie:Histoire sociale, Catégorie:Organisme fondé en 1969, Catégorie:Page avec des cartes, Catégorie:Page sans coordonnées Wikidata, Catégorie:Polémologie, Catégorie:Portail:Belgique/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Histoire militaire/Articles liés, Catégorie:Portail:Seconde Guerre mondiale/Articles liés, Catégorie:Portail:XXe siècle/Articles liés, Catégorie:Portail:Époque contemporaine/Articles liés, Catégorie:Wikipédia:ébauche Belgique, Catégorie:Wikipédia:ébauche domaine militaire, Catégorie:Établissement scientifique fédéral belge"
125,Avatime,"« Alphabets »(Archive.org • Wikiwix • Archive.is • Google • Que faire ?), sur GILLBT.org (consulté le 2 juin 2011)",fr.wikipedia.org/wiki/Avatime,"Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Article contenant un lien mort, Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Langue, Catégorie:Inventaire de langues, Catégorie:Langue au Ghana, Catégorie:Langue kwa, Catégorie:Langue véhiculaire, Catégorie:Portail:Afrique/Articles liés, Catégorie:Portail:Ghana/Articles liés, Catégorie:Portail:Langues/Articles liés, Catégorie:Portail:Langues/Articles liés directement, Catégorie:Portail:Société/Articles liés, Catégorie:Wikipédia:ébauche Ghana, Catégorie:Wikipédia:ébauche langue"
127,Ezzahra Arena,Ezzahra Arena est une salle de basket-ball située dans la ville d'Ezzahra (Tunisie) dans laquelle évolue l'équipe d'Ezzahra Sports.,fr.wikipedia.org/wiki/Ezzahra_Arena,"Catégorie:Article géolocalisé en Tunisie, Catégorie:Article utilisant l'infobox Stade, Catégorie:Article utilisant une Infobox, Catégorie:Gouvernorat de Ben Arous, Catégorie:Page avec coordonnées similaires sur Wikidata, Catégorie:Page avec des cartes, Catégorie:Portail:Afrique/Articles liés, Catégorie:Portail:Architecture et urbanisme/Articles liés, Catégorie:Portail:Basket-ball/Articles liés, Catégorie:Portail:Maghreb/Articles liés, Catégorie:Portail:Monde arabe/Articles liés, Catégorie:Portail:Sport/Articles liés, Catégorie:Portail:Tunisie/Articles liés, Catégorie:Salle de basket-ball en Tunisie, Catégorie:Stade portant le nom d'une ville, Catégorie:Wikipédia:ébauche Tunisie, Catégorie:Wikipédia:ébauche sport"
128,Casting,"Le casting des chefs de postes (image, montage, son) se fait par rapport aux désirs et habitudes du metteur en scène et de concert avec le producteur.",fr.wikipedia.org/wiki/Casting,"Catégorie:Article avec une section vide ou incomplète, Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article manquant de références/Liste complète, Catégorie:Article manquant de références depuis avril 2015, Catégorie:Article utilisant une Infobox, Catégorie:Article utilisant une Infobox en Lua, Catégorie:Catégorie Commons avec lien local identique sur Wikidata, Catégorie:Lexique artistique, Catégorie:Page géolocalisable sans coordonnées paramétrées, Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des dictionnaires ou encyclopédies généralistes, Catégorie:Page utilisant P1417, Catégorie:Page utilisant P18, Catégorie:Page utilisant P361, Catégorie:Page utilisant P4342, Catégorie:Page utilisant P8313, Catégorie:Page utilisant un modèle Bases inactif, Catégorie:Portail:Arts/Articles liés, Catégorie:Portail:Arts du spectacle/Articles liés, Catégorie:Portail:Cinéma/Articles liés, Catégorie:Portail:Danse/Articles liés, Catégorie:Portail:Mannequinat/Articles liés, Catégorie:Portail:Mode/Articles liés, Catégorie:Portail:Musique/Articles liés, Catégorie:Portail:Médias/Articles liés, Catégorie:Portail:Théâtre/Articles liés, Catégorie:Portail:Télévision/Articles liés, Catégorie:Recherche d'emploi, Catégorie:Technique cinématographique"
129,Sources de l'histoire du costume,"Pour les périodes antérieures, l'archéologie permet de retrouver des éléments au cours de fouilles de tombes, de fosses ou encore de maisons.",fr.wikipedia.org/wiki/Sources_de_l%27histoire_du_costume,"Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Histoire de la mode, Catégorie:Histoire du costume, Catégorie:Portail:Culture/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Mode/Articles liés, Catégorie:Source historique"
130,Sarde logudorais,"Giovanni Spano, Ortografia sarda nazionale ossia grammatica della lingua logudorese paragonata all'italiana,  (ISBN 1295295393 et 978-1295295395)",fr.wikipedia.org/wiki/Sarde_logudorais,"Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Langue, Catégorie:Dialecte de transition, Catégorie:Inventaire de langues, Catégorie:Langue SVO, Catégorie:Langue VOS, Catégorie:Langue en Italie, Catégorie:Langue en Sardaigne, Catégorie:Langue romane, Catégorie:Langue syllabique, Catégorie:Langue sérieusement en danger, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Italie/Articles liés, Catégorie:Portail:Langues/Articles liés, Catégorie:Portail:Langues/Articles liés directement, Catégorie:Portail:Sardaigne/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Wikipédia:ébauche Sardaigne, Catégorie:Wikipédia:ébauche langue"
131,Toit en appentis,Un bâtiment en appentis est un bâtiment dont le faîte s'appuie sur ou contre un mur et couvert par un tel toit.,fr.wikipedia.org/wiki/Toit_en_appentis,"Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des dictionnaires ou encyclopédies généralistes, Catégorie:Page utilisant P1417, Catégorie:Page utilisant P3222, Catégorie:Page utilisant un modèle Bases inactif, Catégorie:Portail:Architecture et urbanisme/Articles liés, Catégorie:Portail:Bâtiment et travaux publics/Articles liés, Catégorie:Portail:Technologies/Articles liés, Catégorie:Toiture, Catégorie:Wikipédia:ébauche architecture"
132,Le Noël des petits animaux de la forêt,"Le père Noël est doublé par Thierry Wermuth (Stan Marsh, Randy Marsh, Gerald Broflovski, Terrance...) dans cet épisode.",fr.wikipedia.org/wiki/Le_No%C3%ABl_des_petits_animaux_de_la_for%C3%AAt,"Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Épisode de série télévisée, Catégorie:Portail:Amérique/Articles liés, Catégorie:Portail:Animation/Articles liés, Catégorie:Portail:Années 2000/Articles liés, Catégorie:Portail:Culture/Articles liés, Catégorie:Portail:Fêtes et traditions/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Loisirs et divertissements/Articles liés, Catégorie:Portail:Médias/Articles liés, Catégorie:Portail:Religions et croyances/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Portail:South Park/Articles liés, Catégorie:Portail:Séries télévisées/Articles liés, Catégorie:Portail:Séries télévisées américaines/Articles liés, Catégorie:Portail:Télévision/Articles liés, Catégorie:Portail:XXIe siècle/Articles liés, Catégorie:Portail:Époque contemporaine/Articles liés, Catégorie:Portail:États-Unis/Articles liés, Catégorie:Satanisme, Catégorie:Épisode de South Park, saison 8"
133,1642 en arts plastiques,"10 novembre : André-Charles Boulle, ébéniste, sculpteur, fondeur, ciseleur, doreur, peintre et dessinateur français († 29 février 1732),",fr.wikipedia.org/wiki/1642_en_arts_plastiques,"Catégorie:1642, Catégorie:Article avec une section vide ou incomplète, Catégorie:Article utilisant une Infobox, Catégorie:Catégorie Commons avec lien local différent sur Wikidata, Catégorie:Chronologie des arts plastiques, Catégorie:Portail:Arts/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Histoire de l'art/Articles liés, Catégorie:Portail:XVIIe siècle/Articles liés, Catégorie:Portail:Époque moderne/Articles liés, Catégorie:Wikipédia:ébauche art, Catégorie:Wikipédia:ébauche chronologie"
134,Puma (langue),"Le puma est une des langues kiranti, un sous-groupe des langues himalayennes de la famille tibéto-birmane.",fr.wikipedia.org/wiki/Puma_(langue),"Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Langue, Catégorie:Inventaire de langues, Catégorie:Langue au Népal, Catégorie:Langue kiranti, Catégorie:Langue sérieusement en danger, Catégorie:Portail:Asie/Articles liés, Catégorie:Portail:Langues/Articles liés, Catégorie:Portail:Langues/Articles liés directement, Catégorie:Portail:Monde indien/Articles liés, Catégorie:Portail:Népal/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Wikipédia:ébauche langue"
135,Équivalent-habitant,les habitations individuelles où le nombre d'occupants est disproportionné par rapport au nombre de PP (dimensionnement suivant les besoins réels).,fr.wikipedia.org/wiki/%C3%89quivalent-habitant,"Catégorie:Assainissement, Catégorie:Portail:Assainissement/Articles liés, Catégorie:Portail:Chimie/Articles liés, Catégorie:Portail:Eau/Articles liés, Catégorie:Portail:Environnement/Articles liés, Catégorie:Portail:Sciences/Articles liés, Catégorie:Portail:Sciences de la Terre et de l'Univers/Articles liés, Catégorie:Traitement de l'eau"
136,Agnes Kafula,"Elle a été maire de Windhoek de novembre 2012 à décembre 2014, puis députée à l'assemblée nationale de 2015 à 2020.",fr.wikipedia.org/wiki/Agnes_Kafula,"Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Article utilisant l'infobox Biographie2, Catégorie:Article utilisant l'infobox Biographie2 avec la charte personnalité politique, Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Biographie, Catégorie:Corruption, Catégorie:Femme politique namibienne, Catégorie:Naissance en novembre 1955, Catégorie:Page utilisant P106, Catégorie:Page utilisant P27, Catégorie:Page utilisant P39, Catégorie:Portail:Afrique/Articles liés, Catégorie:Portail:Biographie/Articles liés/Politique, Catégorie:Portail:Namibie/Articles liés, Catégorie:Portail:Politique/Articles liés, Catégorie:Wikipédia:Article biographique"
137,Darkhat,le tableau montre les particularités du darkhat par rapport au mongol khalkha et au mongol littéraire de Chine.,fr.wikipedia.org/wiki/Darkhat,"Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Langue, Catégorie:Inventaire de langues, Catégorie:Langue dans la région autonome de Mongolie-Intérieure, Catégorie:Langue mongolique, Catégorie:Portail:Asie/Articles liés, Catégorie:Portail:Langues/Articles liés, Catégorie:Portail:Langues/Articles liés directement, Catégorie:Portail:Monde chinois/Articles liés, Catégorie:Portail:Mongolie/Articles liés, Catégorie:Portail:République populaire de Chine/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Wikipédia:ébauche langue"
138,Libero Andreotti,"Isa Belli Barsali, « Libero Andreotti » in Dizionario Biografico degli Italiani, III, Roma, Istituto dell'Enciclopedia Italiana, 1961.",fr.wikipedia.org/wiki/Libero_Andreotti,"Catégorie:Article avec une section vide ou incomplète, Catégorie:Article contenant un appel à traduction en italien, Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article utilisant l'infobox Artiste, Catégorie:Article utilisant une Infobox, Catégorie:Catégorie Commons avec lien local identique sur Wikidata, Catégorie:Décès en avril 1933, Catégorie:Décès à 57 ans, Catégorie:Décès à Florence, Catégorie:Lauréat de prix artistique, Catégorie:Naissance en juin 1875, Catégorie:Naissance à Pescia, Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des bases relatives aux beaux-arts, Catégorie:Page pointant vers des dictionnaires ou encyclopédies généralistes, Catégorie:Page utilisant P119, Catégorie:Page utilisant P1367, Catégorie:Page utilisant P18, Catégorie:Page utilisant P1986, Catégorie:Page utilisant P1988, Catégorie:Page utilisant P2268, Catégorie:Page utilisant P245, Catégorie:Page utilisant P27, Catégorie:Page utilisant P2843, Catégorie:Page utilisant P3365, Catégorie:Page utilisant P3421, Catégorie:Page utilisant P3965, Catégorie:Page utilisant P40, Catégorie:Page utilisant P4223, Catégorie:Page utilisant P4432, Catégorie:Page utilisant P650, Catégorie:Page utilisant P6578, Catégorie:Page utilisant P6706, Catégorie:Portail:Arts/Articles liés, Catégorie:Portail:Biographie/Articles liés/Culture et arts, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Italie/Articles liés, Catégorie:Portail:Sculpture/Articles liés, Catégorie:Sculpteur italien du XXe siècle, Catégorie:Wikipédia:Article biographique"
140,Convention internationale des parlementaires sur le Tibet,La Convention internationale des parlementaires sur le Tibet (anglais : World Parliamentarians Convention on Tibet (WPCT)) a été fondée en 1994.,fr.wikipedia.org/wiki/Convention_internationale_des_parlementaires_sur_le_Tibet,"Catégorie:1994 au Tibet, Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Politique au Tibet, Catégorie:Politique étrangère du Tibet, Catégorie:Portail:Asie/Articles liés, Catégorie:Portail:Politique/Articles liés, Catégorie:Portail:Relations internationales/Articles liés, Catégorie:Portail:République populaire de Chine/Articles liés, Catégorie:Portail:Tibet/Articles liés, Catégorie:Wikipédia:ébauche Tibet, Catégorie:Wikipédia:ébauche politique, Catégorie:Wikipédia:ébauche relations internationales"
141,Neurdein,"Jean César Adolphe Neurdein, connu sous le pseudonyme de Charlet, né le 26 mars 1806, mort le 27 mars 1867.",fr.wikipedia.org/wiki/Neurdein,"Catégorie:Article utilisant le modèle Dictionnaires inactif, Catégorie:Catégorie Commons avec lien local identique sur Wikidata, Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des bases relatives aux beaux-arts, Catégorie:Page utilisant P1816, Catégorie:Page utilisant le modèle Autorité inactif, Catégorie:Photographe d'architecture, Catégorie:Photographe français du XIXe siècle, Catégorie:Photographe français du XXe siècle, Catégorie:Portail:Arts/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:France/Articles liés, Catégorie:Portail:Photographie/Articles liés, Catégorie:Portail:Économie/Articles liés, Catégorie:Portail:Édition/Articles liés, Catégorie:Wikipédia:ébauche personnalité française du monde des affaires, Catégorie:Wikipédia:ébauche photographe français, Catégorie:Éditeur de cartes postales, Catégorie:Éditeur français du XIXe siècle, Catégorie:Éditeur français du XXe siècle"
142,Théorie des principales ressources,"Même si le Canada s'est déclaré indépendant du pouvoir colonial, il a continué de dépendre de la Grande-Bretagne pour son commerce.",fr.wikipedia.org/wiki/Th%C3%A9orie_des_principales_ressources,"Catégorie:Industrie, Catégorie:Portail:Amérique/Articles liés, Catégorie:Portail:Amérique du Nord/Articles liés, Catégorie:Portail:Canada/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Portail:Économie/Articles liés, Catégorie:Théorie économique, Catégorie:Wikipédia:ébauche économie, Catégorie:Économie au Canada"
144,Serbe,La place du complément du nom est après le nom déterminé : čovek proverenog ukusa « un homme d’un (bon) goût prouvé ».,fr.wikipedia.org/wiki/Serbe,"Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article de qualité en hongrois, Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Langue, Catégorie:Catégorie Commons avec lien local identique sur Wikidata, Catégorie:Diasystème slave du centre-sud, Catégorie:Inventaire de langues, Catégorie:Langue SVO, Catégorie:Langue accentuelle, Catégorie:Langue accusative, Catégorie:Langue au Kosovo, Catégorie:Langue au Monténégro, Catégorie:Langue en Bosnie-Herzégovine, Catégorie:Langue en Croatie, Catégorie:Langue en Serbie, Catégorie:Langue en Voïvodine, Catégorie:Langue flexionnelle, Catégorie:Langue officielle, Catégorie:Langue serbe, Catégorie:Langue à accent de hauteur, Catégorie:Langue à ordre libre, Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des dictionnaires ou encyclopédies généralistes, Catégorie:Page utilisant P4342, Catégorie:Page utilisant un modèle Bases inactif, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Langues/Articles liés, Catégorie:Portail:Langues/Articles liés directement, Catégorie:Portail:Serbie/Articles liés, Catégorie:Portail:Serbie et peuple serbe/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:République serbe de Bosnie"
145,Jurade de Bordeaux,"Ariste Ducaunnès-Duval et Paul Courteault, Inventaire sommaire des registres de la Jurade, 1520 à 1783, vol.",fr.wikipedia.org/wiki/Jurade_de_Bordeaux,"Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Droit médiéval, Catégorie:Gironde au Moyen Âge, Catégorie:Histoire de Bordeaux, Catégorie:Jurat de Bordeaux, Catégorie:Portail:Bordeaux/Articles liés, Catégorie:Portail:Droit/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:France/Articles liés, Catégorie:Portail:Gironde/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Nouvelle-Aquitaine/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Wikipédia:ébauche Bordeaux, Catégorie:Wikipédia:ébauche droit, Catégorie:Wikipédia:ébauche histoire"
146,Beakhead,"Les beakheads se trouvent dans l'architecture romane, principalement en Angleterre, Irlande, Espagne et, en France, en Anjou et Normandie.",fr.wikipedia.org/wiki/Beakhead,"Catégorie:Arc (architecture), Catégorie:Architecture de style normand, Catégorie:Article contenant un lien mort, Catégorie:Catégorie Commons avec lien local identique sur Wikidata, Catégorie:Portail:Architecture et urbanisme/Articles liés, Catégorie:Wikipédia:ébauche architecture"
147,Compagnie de croisière,Portail des entreprises   Portail du tourisme   Portail du monde maritime   Portail des lacs et cours d'eau,fr.wikipedia.org/wiki/Compagnie_de_croisi%C3%A8re,"Catégorie:Compagnie de croisière, Catégorie:Portail:Eau/Articles liés, Catégorie:Portail:Entreprises/Articles liés, Catégorie:Portail:Géographie/Articles liés, Catégorie:Portail:Lacs et cours d'eau/Articles liés, Catégorie:Portail:Loisirs et divertissements/Articles liés, Catégorie:Portail:Maritime/Articles liés, Catégorie:Portail:Tourisme/Articles liés, Catégorie:Portail:Économie/Articles liés, Catégorie:Wikipédia:ébauche entreprise, Catégorie:Wikipédia:ébauche mer, Catégorie:Wikipédia:ébauche tourisme"
149,Liste des pays ayant des restaurants McDonald's,La liste des pays est communiquée par l'entreprise et contient plusieurs territoires non souverains.,fr.wikipedia.org/wiki/Liste_des_pays_ayant_des_restaurants_McDonald%27s,"Catégorie:Article à wikifier/Liste complète, Catégorie:Article à wikifier depuis juin 2022, Catégorie:Liste de pays, Catégorie:Liste de restaurants, Catégorie:McDonald's, Catégorie:Portail:Alimentation et gastronomie/Articles liés, Catégorie:Portail:Société/Articles liés"
