index,title,random_sentence,simplified,url,categories,method
109,La Baigneuse aux bras levés,"La sculpture est installée depuis 1964 dans le jardin du Carrousel aux Tuileries, dans le 1er arrondissement de Paris.",La sculpture est installée depuis 1964 dans le jardin du Carrousel aux Tuileries.,fr.wikipedia.org/wiki/La_Baigneuse_aux_bras_lev%C3%A9s,"Article géolocalisé en France, Article utilisant l'infobox Art, Article utilisant une Infobox, Catégorie Commons avec lien local différent sur Wikidata, Page avec coordonnées similaires sur Wikidata, Page avec des cartes, Page utilisant P571, Portail:Arts/Articles liés, Portail:Europe/Articles liés, Portail:France/Articles liés, Portail:Paris/Articles liés, Portail:Sculpture/Articles liés, Portail:Île-de-France/Articles liés, Sculpture d'Aristide Maillol, Sculpture des années 1920, Sculpture en bronze, Wikipédia:ébauche sculpture, Œuvre d'art dans le jardin des Tuileries",Élimination des informations non essentielles
111,Dictons météorologiques,Certains proverbes concernant des dates données peuvent s'expliquer par les conditions macro-climatiques en la période donnée.,Les conditions macro-climatiques de la période expliquent certains proverbes concernant des dates données.,fr.wikipedia.org/wiki/Dictons_m%C3%A9t%C3%A9orologiques,"Croyance, Dicton météorologique, Histoire de la météorologie, Portail:Météorologie/Articles liés, Portail:Sciences/Articles liés, Portail:Sciences de la Terre et de l'Univers/Articles liés, Proverbe",Formes actives au lieu de passives
112,Chad (argot),"Le terme « chad » est souvent utilisé pour désigner une personne pour laquelle on a de l’estime, que l’on respecte, voire que l’on apprécie.","Le terme « chad » est souvent utilisé pour désigner une personne estimée, respectée et appréciée.",fr.wikipedia.org/wiki/Chad_(argot),"Article contenant un lien mort, Culture Internet, Culture à Chicago, Expression argotique, Groupe social, Manosphère, Phénomène Internet, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Chicago/Articles liés, Portail:Illinois/Articles liés, Portail:Informatique/Articles liés, Portail:Internet/Articles liés, Portail:Médias/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Sexualité et sexologie/Articles liés, Portail:Société/Articles liés, Portail:États-Unis/Articles liés, Sous-culture, Sous-culture incel, Stéréotype masculin, Séduction, Wikipédia:ébauche sociologie",Suppression des clauses complexes
115,Thriller (genre),Le hasard périlleux et les confrontations violentes sont également des éléments standards d'une intrigue de thriller.,Le hasard et les confrontations violentes sont des éléments standards d'une intrigue de thriller.,fr.wikipedia.org/wiki/Thriller_(genre),"Article de Wikipédia avec notice d'autorité, Article utilisant le modèle Dictionnaires inactif, Catégorie Commons avec lien local différent sur Wikidata, Genre cinématographique, Genre et forme littéraire, Littérature policière, Page utilisant un modèle Bases inactif, Portail:Cinéma/Articles liés, Portail:Littérature/Articles liés, Portail:Médias/Articles liés, Portail:Polar/Articles liés, Portail:Télévision/Articles liés, Thriller",Omission des mots redondants
132,Le Noël des petits animaux de la forêt,"Le père Noël est doublé par Thierry Wermuth (Stan Marsh, Randy Marsh, Gerald Broflovski, Terrance...) dans cet épisode.","Le père Noël est doublé par Thierry Wermuth dans cet épisode.",fr.wikipedia.org/wiki/Le_No%C3%ABl_des_petits_animaux_de_la_for%C3%AAt,"Article utilisant une Infobox, Article à illustrer Épisode de série télévisée, Portail:Amérique/Articles liés, Portail:Animation/Articles liés, Portail:Années 2000/Articles liés, Portail:Culture/Articles liés, Portail:Fêtes et traditions/Articles liés, Portail:Histoire/Articles liés, Portail:Loisirs et divertissements/Articles liés, Portail:Médias/Articles liés, Portail:Religions et croyances/Articles liés, Portail:Société/Articles liés, Portail:South Park/Articles liés, Portail:Séries télévisées/Articles liés, Portail:Séries télévisées américaines/Articles liés, Portail:Télévision/Articles liés, Portail:XXIe siècle/Articles liés, Portail:Époque contemporaine/Articles liés, Portail:États-Unis/Articles liés, Satanisme, Épisode de South Park, saison 8",Éviter les parenthèses et les incises
136,Agnes Kafula,"Elle a été maire de Windhoek de novembre 2012 à décembre 2014, puis députée à l'assemblée nationale de 2015 à 2020.","Elle a dirigé Windhoek de novembre 2012 à décembre 2014, puis siégé à l'assemblée nationale de 2015 à 2020.",fr.wikipedia.org/wiki/Agnes_Kafula,"Article contenant un appel à traduction en anglais, Article utilisant l'infobox Biographie2, Article utilisant l'infobox Biographie2 avec la charte personnalité politique, Article utilisant une Infobox, Article à illustrer Biographie, Corruption, Femme politique namibienne, Naissance en novembre 1955, Page utilisant P106, Page utilisant P27, Page utilisant P39, Portail:Afrique/Articles liés, Portail:Biographie/Articles liés/Politique, Portail:Namibie/Articles liés, Portail:Politique/Articles liés, Wikipédia:Article biographique",Formes actives au lieu de passives
146,Beakhead,"Les beakheads se trouvent dans l'architecture romane, principalement en Angleterre, Irlande, Espagne et, en France, en Anjou et Normandie.","Les beakheads se trouvent dans l'architecture romane. Ils sont principalement en Angleterre, Irlande, Espagne, France, Anjou et Normandie.",fr.wikipedia.org/wiki/Beakhead,"Arc (architecture), Architecture de style normand, Article contenant un lien mort, Catégorie Commons avec lien local identique sur Wikidata, Portail:Architecture et urbanisme/Articles liés, Wikipédia:ébauche architecture",Réduction de la longueur des phrases
149,Liste des pays ayant des restaurants McDonald's,La liste des pays est communiquée par l'entreprise et contient plusieurs territoires non souverains.,"L'entreprise communique la liste des pays, contenant plusieurs territoires non souverains.",fr.wikipedia.org/wiki/Liste_des_pays_ayant_des_restaurants_McDonald%27s,"Article à wikifier/Liste complète, Article à wikifier depuis juin 2022, Liste de pays, Liste de restaurants, McDonald's, Portail:Alimentation et gastronomie/Articles liés, Portail:Société/Articles liés",Formes actives au lieu de passives
152,Prix national de la photographie (Espagne),"Il récompense l'œuvre d'un photographe qui, par sa création artistique, a contribué à enrichir le patrimoine culturel espagnol.",Il récompense l'œuvre d'un photographe qui a enrichi le patrimoine culturel espagnol.,fr.wikipedia.org/wiki/Prix_national_de_la_photographie_(Espagne),"Article avec une section vide ou incomplète, Article contenant un appel à traduction en espagnol, Article utilisant une Infobox, Article à illustrer Récompense, Photographie en Espagne, Portail:Arts/Articles liés, Portail:Espagne/Articles liés, Portail:Europe/Articles liés, Portail:Photographie/Articles liés, Portail:Récompenses et distinctions/Articles liés, Portail:Société/Articles liés, Prix nationaux d'Espagne, Récompense en photographie",Suppression des clauses complexes
181,Ordre des psychologues du Québec,L’Ordre des psychologues du Québec est un ordre professionnel qui regroupe les psychologues du Québec.,L’Ordre des psychologues du Québec est un ordre professionnel.,fr.wikipedia.org/wiki/Ordre_des_psychologues_du_Qu%C3%A9bec,"Article utilisant une Infobox, Association ou organisme ayant son siège à Montréal, Association ou organisme lié à la psychologie, Association ou organisme lié à la santé au Québec, Mont-Royal (Québec), Ordre professionnel au Québec, Page géolocalisable sans coordonnées paramétrées, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Associations/Articles liés, Portail:Canada/Articles liés, Portail:Psychologie/Articles liés, Portail:Québec/Articles liés, Portail:Sciences/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Société/Articles liés, Santé mentale au Québec, Wikipédia:ébauche Québec, Wikipédia:ébauche psychologie",Suppression des clauses complexes
184,Discothèque,"Depuis 2004, il est estimé approximativement un nombre de 30 à 50 fermetures annuelles par Ludovic Rambaud, un temps rédacteur en chef de DJ Mag.","Ludovic Rambaud, ancien rédacteur en chef de DJ Mag, estime depuis 2004 qu'il y a environ 30 à 50 fermetures annuelles.",fr.wikipedia.org/wiki/Discoth%C3%A8que,"Article contenant un appel à traduction en anglais, Article de Wikipédia avec notice d'autorité, Article à référence nécessaire, Catégorie Commons avec lien local identique sur Wikidata, Discothèque, Industrie musicale, Page pointant vers des bases externes, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P1296, Page utilisant P1417, Page utilisant P4342, Page utilisant P8313, Page utilisant un modèle Bases inactif, Portail:Arts/Articles liés, Portail:Danse/Articles liés, Portail:Loisirs et divertissements/Articles liés, Portail:Musique/Articles liés, Portail:Musique électronique/Articles liés, Salle de concert",Formes actives au lieu de passives
185,1520 Sedgwick Avenue,"1520 Sedgwick Avenue est un immeuble d'habitation à loyer modéré situé à Morris Heights, quartier populaire de l'arrondissement du Bronx, à New York.","1520 Sedgwick Avenue est un immeuble à loyer modéré à Morris Heights, dans le Bronx, à New York.",fr.wikipedia.org/wiki/1520_Sedgwick_Avenue,"Article contenant un appel à traduction en anglais, Article géolocalisé aux États-Unis, Article utilisant l'infobox Monument, Article utilisant une Infobox, Bronx, Bâtiment à New York, Hip-hop aux États-Unis, Histoire de la musique, Logement social aux États-Unis, Page avec des cartes, Page géolocalisée par Wikidata, Page utilisant P18, Page utilisant P31, Page utilisant P571, Page utilisant P669, Page utilisant une adresse fournie par Wikidata, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Architecture et urbanisme/Articles liés, Portail:Hip-hop/Articles liés, Portail:Musique/Articles liés, Portail:New York/Articles liés, Portail:New York (État)/Articles liés, Portail:États-Unis/Articles liés, Wikipédia:ébauche New York (État), Wikipédia:ébauche architecture, Wikipédia:ébauche hip-hop",Élimination des informations non essentielles
195,Chadirvan,"Son but était de fournir de l'eau afin d'abreuver ou de permettre d'effectuer les rituels d'ablutions, le wudu, à plusieurs personnes simultanément.","Son but était de donner de l'eau pour boire ou pour permettre de faire les rituels de purification, le wudu, à plusieurs personnes en même temps.",fr.wikipedia.org/wiki/Chadirvan,"Architecture islamique, Catégorie Commons avec lien local différent sur Wikidata, Eau et religion, Fontaine, Portail:Architecture et urbanisme/Articles liés, Portail:Bassins et fontaines/Articles liés, Portail:Eau/Articles liés, Portail:Islam/Articles liés, Portail:Religions et croyances/Articles liés, Portail:Sculpture/Articles liés, Wikipédia:ébauche architecture, Élément d'architecture",Substitution de mots complexes
198,Mémoire collective,L’objectivation nous éclaire sur le processus de reconstruction du passé en fonction de l’état actuel des choses.,L’objectivation montre comment le passé est recréé selon la situation actuelle.,fr.wikipedia.org/wiki/M%C3%A9moire_collective,"Article de Wikipédia avec notice d'autorité, Concept de psychologie, Concept sociologique, Historiographie, Mémoire collective, Page pointant vers des bases externes, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P3219, Page utilisant un modèle Bases inactif, Portail:Historiographie/Articles liés, Portail:Psychologie/Articles liés, Portail:Sciences/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Sociologie/Articles liés, Portail:Société/Articles liés, Psychologie sociale",Substitution de mots complexes
203,Prix Kimura Ihei,Il récompense un ou plusieurs jeunes photographes qui ont été actifs dans l'année par leurs expositions et publications.,Il récompense un ou plusieurs jeunes photographes actifs dans l'année par leurs expositions et publications.,fr.wikipedia.org/wiki/Prix_Kimura_Ihei,"Article avec une section vide ou incomplète, Article contenant un appel à traduction en anglais, Article contenant un appel à traduction en japonais, Article utilisant une Infobox, Article à illustrer Récompense, Distinction fondée en 1975, Page utilisant une présentation en colonnes avec un nombre fixe de colonnes, Portail:Arts/Articles liés, Portail:Asie/Articles liés, Portail:Japon/Articles liés, Portail:Photographie/Articles liés, Portail:Récompenses et distinctions/Articles liés, Portail:Société/Articles liés, Prix artistique au Japon, Récompense en photographie, Wikipédia:ébauche photographie",Formes actives au lieu de passives
227,Centrale nucléaire de Browns Ferry,Incident : la tranche 1 a été arrêtée durant une année à la suite d'un incendie en 1975 qui l'a fortement endommagée.,Incident : On a arrêté la tranche 1 pendant un an à cause d'un incendie en 1975 qui l'a fortement endommagée.,fr.wikipedia.org/wiki/Centrale_nucl%C3%A9aire_de_Browns_Ferry,"Article géolocalisé aux États-Unis, Article utilisant l'infobox Centrale nucléaire, Article utilisant une Infobox, Centrale nucléaire aux États-Unis, Comté de Limestone (Alabama), Infrastructure énergétique mise en service en 1973, Infrastructure énergétique mise en service en 1974, Infrastructure énergétique mise en service en 1976, Page avec coordonnées similaires sur Wikidata, Page avec des cartes, Page utilisant P856, Portail:Alabama/Articles liés, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Industrie/Articles liés, Portail:Nucléaire/Articles liés, Portail:Technologies/Articles liés, Portail:Économie/Articles liés, Portail:Énergie/Articles liés, Portail:États-Unis/Articles liés, Wikipédia:ébauche Alabama, Wikipédia:ébauche industrie, Wikipédia:ébauche nucléaire, Wikipédia:ébauche énergie, Énergie en Alabama",Formes actives au lieu de passives
230,Panasonic Lumix DMC-GH4,"Au moment de sa sortie, le GH4 était le premier appareil hybride du monde capable de filmer en 4K (4K/UHD et 4K/DCI).",Le GH4 était le premier appareil hybride capable de filmer en 4K.,fr.wikipedia.org/wiki/Panasonic_Lumix_DMC-GH4,"Appareil photographique numérique, Article contenant un appel à traduction en allemand, Article contenant un appel à traduction en anglais, Article utilisant une Infobox, Panasonic, Portail:Arts/Articles liés, Portail:Photographie/Articles liés, Produit lancé en 2014, Wikipédia:ébauche photographie",Élimination des informations non essentielles
240,Pulaar,Le nom pulaar (avec un -aa- long) n'est pas à confondre avec l’appellation pular (avec un -a- court) utilisée par les locuteurs du Fouta-Djalon.,Le nom pulaar se distingue de l’appellation pular utilisée par les locuteurs du Fouta-Djalon.,fr.wikipedia.org/wiki/Pulaar,"Article contenant un appel à traduction en anglais, Article utilisant une Infobox, Article à illustrer Langue, Inventaire de langues, Langue peule, Portail:Afrique/Articles liés, Portail:Gambie/Articles liés, Portail:Guinée-Bissau/Articles liés, Portail:Guinée/Articles liés, Portail:Langues/Articles liés, Portail:Langues/Articles liés directement, Portail:Lusophonie/Articles liés, Portail:Mali/Articles liés, Portail:Mauritanie/Articles liés, Portail:Monde arabe/Articles liés, Portail:Société/Articles liés, Portail:Sénégal/Articles liés",Propositions positives au lieu de négatives
251,Sens de rotation,"Pour les vélos, la pédale de gauche est filetée dans le sens anti-horaire pour éviter qu'elle ne se dévisse pendant l'utilisation.","Pour les vélos, la pédale de gauche est filetée dans le sens anti-horaire pour qu'elle reste en place pendant l'utilisation.",fr.wikipedia.org/wiki/Sens_de_rotation,"Concept en physique, Géométrie, Orientation, Portail:Géométrie/Articles liés, Portail:Physique/Articles liés, Portail:Sciences/Articles liés, Projet:Mathématiques/Articles, Rotation",Propositions positives au lieu de négatives
263,Comté de Horn,"Ils commencent à s'intituler comtes de Horn et d'Altena, bien qu'ils ne fussent alors comte ni dans l'une ni dans l'autre de ces terres.","Ils commencent à s'intituler comtes de Horn et d'Altena, même sans être comtes de ces terres.",fr.wikipedia.org/wiki/Comt%C3%A9_de_Horn,"Article utilisant le modèle Dictionnaires inactif, Article utilisant une Infobox, Comté du Saint-Empire romain germanique, Géographie de la province de Limbourg (Pays-Bas), Histoire de la province de Limbourg (Belgique), Kinrooi, Leudal, Maasgouw, Maison de Hornes, Page utilisant le modèle Autorité inactif, Page utilisant un modèle Bases inactif, Politique dans la province de Limbourg (Pays-Bas), Portail:Belgique/Articles liés, Portail:Europe/Articles liés, Portail:Limbourg/Articles liés, Portail:Liège/Articles liés, Portail:Pays-Bas/Articles liés, Portail:Province de Liège/Articles liés, Portail:Région flamande/Articles liés, Portail:Wallonie/Articles liés, Territoire de la principauté de Liège, Weert, Wikipédia:ébauche histoire",Propositions positives au lieu de négatives
270,"Affaire de l'étude de Rind, Tromovitch et Bauserman","La condamnation d'une étude scientifique par le Congrès était, à cette époque, un événement sans précédent.","Le Congrès a condamné une étude scientifique, cela était un événement sans précédent à cette époque.","fr.wikipedia.org/wiki/Affaire_de_l%27%C3%A9tude_de_Rind,_Tromovitch_et_Bauserman","Apologie de la pédophilie, Controverse en psychologie, Controverse scientifique, Histoire de la psychologie, Histoire de la sexologie, Politique aux États-Unis, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Psychologie/Articles liés, Portail:Sciences/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Sexualité et sexologie/Articles liés, Portail:États-Unis/Articles liés",Formes actives au lieu de passives
275,Tireuse numérique,"Noritsu Koki (Japon) (plus de 50 % des actions tenues par la famille Nishimoto, créateur du Minilab).","La famille Nishimoto, créateur du Minilab, détient plus de 50 % des actions de Noritsu Koki.",fr.wikipedia.org/wiki/Tireuse_num%C3%A9rique,"Matériel photographique, Portail:Arts/Articles liés, Portail:Photographie/Articles liés",Éviter les parenthèses et les incises
276,Rôle social,"Ces rôles sont les comportements attendus d’un individu (ou parfois d'une organisation), dans l’exercice d’une fonction qui renvoie au statut social.","Ces rôles sont les comportements attendus d’un individu ou organisation, dans l’exercice d’une fonction qui renvoie au statut social.",fr.wikipedia.org/wiki/R%C3%B4le_social,"Anthropologie, Article de Wikipédia avec notice d'autorité, Article manquant de références/Liste complète, Article manquant de références depuis janvier 2020, Concept sociologique, Jeu de rôle, Page pointant vers des bases externes, Page pointant vers des bases relatives à la santé, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P1296, Page utilisant P1417, Page utilisant P3219, Page utilisant P486, Portail:Anthropologie/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Sociologie/Articles liés, Portail:Société/Articles liés, Wikipédia:ébauche sociologie",Éviter les parenthèses et les incises
281,Sony Alpha 380,Le Sony Alpha 380 (typographié α 380) est un reflex d'entrée de gamme commercialisé à partir du premier trimestre 2009 par Sony.,Sony a commercialisé le reflex d'entrée de gamme Le Sony Alpha 380 (typographié α 380) à partir du premier trimestre 2009.,fr.wikipedia.org/wiki/Sony_Alpha_380,"Article avec une section vide ou incomplète, Article utilisant une Infobox, Catégorie Commons avec lien local identique sur Wikidata, Portail:Arts/Articles liés, Portail:Photographie/Articles liés, Produit lancé en 2009, Sony Alpha, Wikipédia:ébauche photographie",Formes actives au lieu de passives
313,Soldiers of Odin,Les Soldiers of Odin (SOO) est une organisation de patrouille de rue opposée à l'immigration formée en octobre 2015 à Kemi en Finlande par Mika Ranta.,"Mika Ranta a formé les Soldiers of Odin (SOO), une organisation de patrouille de rue opposée à l'immigration, en octobre 2015 à Kemi en Finlande.",fr.wikipedia.org/wiki/Soldiers_of_Odin,"Article avec une section vide ou incomplète, Article contenant un lien mort, Article utilisant l'infobox Organisation, Article utilisant une Infobox, Article à référence nécessaire, Auto-justice, Crise migratoire en Europe, Extrême droite en Amérique, Extrême droite en Europe, Organisation nationaliste blanche, Page géolocalisable sans coordonnées paramétrées, Page utilisant P1142, Page utilisant P1387, Page utilisant P17, Portail:Politique/Articles liés, Wikipédia:ébauche politique",Formes actives au lieu de passives
330,Bande-son,"Pour que la masse des bobines ne s'oppose pas aux saccades, il faut laisser entre elles et la fenêtre une boucle d'amortissement.","Pour que la masse des bobines suive les mouvements, il faut laisser entre elles et la fenêtre une boucle d'amortissement.",fr.wikipedia.org/wiki/Bande-son,"Article de Wikipédia avec notice d'autorité, Article à référence nécessaire, Article à référence souhaitée, Bande originale de film, Enregistrement sonore, Page pointant vers des bases externes, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P1417, Page utilisant P3365, Page utilisant P8313, Page utilisant un modèle Bases inactif, Portail:Art contemporain/Articles liés, Portail:Arts/Articles liés, Portail:Cinéma/Articles liés, Portail:Musique/Articles liés, Technique cinématographique",Propositions positives au lieu de négatives
357,Stade municipal de Bouna,"Le Stade municipal de Bouna est un stade de football qui se situe dans la ville de Bouna, au nord-est de la Côte d'Ivoire.",Le Stade municipal de Bouna est un stade de football au nord-est de la Côte d'Ivoire.,fr.wikipedia.org/wiki/Stade_municipal_de_Bouna,"Article avec une section vide ou incomplète, Article géolocalisé en Côte d'Ivoire, Article utilisant l'infobox Stade, Article utilisant une Infobox, Article à illustrer Stade, Page avec coordonnées similaires sur Wikidata, Page avec des cartes, Portail:Architecture et urbanisme/Articles liés, Portail:Côte d'Ivoire/Articles liés, Portail:Football/Articles liés, Portail:Sport/Articles liés, Stade de football en Côte d'Ivoire, Stade portant le nom d'une ville, Wikipédia:ébauche Côte d'Ivoire, Wikipédia:ébauche stade de football",Suppression des clauses complexes
359,Coopération interministérielle,"Elle peut impliquer des organismes (comités, commissions, délégations), des réunions, des instructions ou des corps interministériels.","Elle peut impliquer des organismes, des réunions, des instructions ou des corps interministériels.",fr.wikipedia.org/wiki/Coop%C3%A9ration_interminist%C3%A9rielle,"Administration publique, Article avec une section vide ou incomplète, Article contenant un appel à traduction en anglais, Ministère, Portail:Droit/Articles liés, Portail:Politique/Articles liés, Portail:Société/Articles liés, Wikipédia:ébauche droit, Wikipédia:ébauche politique",Éviter les parenthèses et les incises
361,Persée triomphant,Persée triomphant est une sculpture en marbre réalisée par l'artiste néo-classique italien Antonio Canova entre 1797 et 1801.,L'artiste néo-classique italien Antonio Canova a réalisé la sculpture en marbre Persée triomphant entre 1797 et 1801.,fr.wikipedia.org/wiki/Pers%C3%A9e_triomphant,"Article utilisant l'infobox Art, Article utilisant une Infobox, Histoire de la sculpture, Mythologie grecque dans la sculpture, Page utilisant P136, Page utilisant P170, Page utilisant P18, Page utilisant P186, Page utilisant P2048, Page utilisant P217, Page utilisant P276, Page utilisant P571, Page utilisant P941, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Arts/Articles liés, Portail:Catholicisme/Articles liés, Portail:Christianisme/Articles liés, Portail:Europe/Articles liés, Portail:Grèce antique/Articles liés, Portail:Histoire/Articles liés, Portail:Histoire de l'art/Articles liés, Portail:Metropolitan Museum of Art/Articles liés, Portail:Monde antique/Articles liés, Portail:New York/Articles liés, Portail:New York (État)/Articles liés, Portail:Néo-classicisme/Articles liés, Portail:Religions et croyances/Articles liés, Portail:Sculpture/Articles liés, Portail:Vatican/Articles liés, Portail:États-Unis/Articles liés, Sculpture conservée au Metropolitan Museum of Art, Sculpture d'Antonio Canova, Sculpture en marbre, Sculpture néo-classique, Œuvre conservée au musée Pio-Clementino, Œuvre d'art géolocalisable sans coordonnées paramétrées",Formes actives au lieu de passives
367,Biens communaux,"Pour le pacage, il ne faut pas confondre avec la vaine pâture qui s'effectue sur des terres appropriées.","Pour le pacage, il faut distinguer de la vaine pâture qui se fait sur des terres appropriées.",fr.wikipedia.org/wiki/Biens_communaux,"Agriculture, Ancien Droit, Article avec une section vide ou incomplète, Article contenant un appel à traduction en anglais, Article de Wikipédia avec notice d'autorité, Biens communs, Droit féodal, Page pointant vers des bases externes, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P3219, Page utilisant P8313, Page utilisant P902, Page utilisant le modèle Extrait, Page utilisant un modèle Bases inactif, Portail:Agriculture et agronomie/Articles liés, Portail:Biologie/Articles liés, Portail:Droit/Articles liés, Portail:Histoire/Articles liés, Portail:Société/Articles liés, Projet:Biologie/Pages liées",Propositions positives au lieu de négatives
379,Administrateur de la santé publique des États-Unis,Terry et son comité postulent cependant que l'usage de la cigarette contenant de la nicotine ne créait pas de dépendance.,Terry et son comité postulent cependant que l'usage de la cigarette contenant de la nicotine est sans dépendance.,fr.wikipedia.org/wiki/Administrateur_de_la_sant%C3%A9_publique_des_%C3%89tats-Unis,"Article contenant un appel à traduction en anglais, Article contenant un lien mort, Article utilisant une Infobox, Article à référence nécessaire, Département exécutif des États-Unis, Histoire militaire des États-Unis, Ministère de la Santé, Personnalité des Forces armées des États-Unis, Personnalité politique américaine, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Biologie/Articles liés, Portail:Droit/Articles liés, Portail:Forces armées des États-Unis/Articles liés, Portail:Histoire militaire/Articles liés, Portail:Médecine/Articles liés, Portail:Politique/Articles liés, Portail:Politique aux États-Unis/Articles liés, Portail:Sciences/Articles liés, Portail:Société/Articles liés, Portail:États-Unis/Articles liés, Santé aux États-Unis, Soins de santé aux États-Unis",Propositions positives au lieu de négatives
407,Mémoire auditive,"Elle permet de stocker des informations de nature auditive (sons, paroles…) pendant une période de temps brève (trois à quatre secondes).",Elle permet de stocker des informations de nature auditive pendant une période de temps brève.,fr.wikipedia.org/wiki/M%C3%A9moire_auditive,"Article manquant de références/Liste complète, Article manquant de références depuis mai 2016, Article à référence nécessaire, Concept de psychologie cognitive, Mémoire, Neurosciences, Ouïe, Portail:Biologie/Articles liés, Portail:Neurosciences/Articles liés, Portail:Psychologie/Articles liés, Portail:Sciences/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Projet:Biologie/Pages liées, Psychoacoustique, Wikipédia:ébauche neurosciences, Wikipédia:ébauche psychologie",Éviter les parenthèses et les incises
408,Martini Maccomo,"Son avis de décès dans le New York Herald, indique qu'il avait 31 ans, ce qui induit que son année de naissance entre 1835 et 1840 environ.","Son avis de décès dans le New York Herald, indique qu'il avait 31 ans.",fr.wikipedia.org/wiki/Martini_Maccomo,"Article utilisant l'infobox Biographie2, Article utilisant l'infobox Biographie2 avec la charte par défaut, Article utilisant une Infobox, Artiste de cirque, Bon article en anglais, Dompteur, Page utilisant P106, Page utilisant P18, Page utilisant P19, Page utilisant P20, Page utilisant P569, Page utilisant P570, Portail:Arts/Articles liés, Portail:Arts du spectacle/Articles liés, Portail:Biographie/Articles liés/Culture et arts, Portail:Biologie/Articles liés, Portail:Europe/Articles liés, Portail:Histoire/Articles liés, Portail:Histoire de la zoologie et de la botanique/Articles liés, Portail:Histoire des sciences/Articles liés, Portail:Royaume-Uni/Articles liés, Projet:Biologie/Pages liées, Wikipédia:Article biographique",Suppression des clauses complexes
410,Madeleine Laval,Madeleine Laval (née le 9 juin 1912 - morte le 2 juin 2002) est une germaniste et une traductrice française.,Madeleine Laval est une germaniste et une traductrice française.,fr.wikipedia.org/wiki/Madeleine_Laval,"Article de Wikipédia avec notice d'autorité, Article utilisant l'infobox Biographie2, Article utilisant l'infobox Biographie2 avec la charte spécialiste du langage, Article utilisant le modèle Dictionnaires inactif, Article utilisant une Infobox, Article à illustrer Biographie, Décès en juin 2002, E. T. A. Hoffmann, Enseignant de l'enseignement secondaire, Germaniste français, Naissance en juin 1912, Page utilisant P106, Page utilisant P19, Page utilisant P20, Page utilisant P26, Page utilisant P27, Page utilisant P569, Page utilisant P570, Page utilisant un modèle Bases inactif, Portail:Biographie/Articles liés/Culture et arts, Portail:Littérature/Articles liés, Portail:Société/Articles liés, Portail:Éducation/Articles liés, Traducteur depuis l'allemand vers le français, Traductrice française, Wikipédia:Article biographique, Wikipédia:ébauche traduction, Wikipédia:ébauche éducation",Éviter les parenthèses et les incises
420,Indianisation de l'Indonésie,Ils doivent alors justifier de cette plus grande richesse aux yeux de la société dans laquelle ils vivent.,Ils doivent alors justifier de cette plus grande richesse aux yeux de la société.,fr.wikipedia.org/wiki/Indianisation_de_l%27Indon%C3%A9sie,"Article contenant un appel à traduction en anglais, Article contenant un appel à traduction en portugais, Culture indienne, Histoire de l'Asie du Sud-Est, Histoire de l'Indonésie, Portail:Asie/Articles liés, Portail:Indonésie/Articles liés, Portail:Monde indien/Articles liés, Projet:Asie du Sud-Est/Articles liés, Wikipédia:ébauche culture",Suppression des clauses complexes
423,Opération de rénovation urbaine,"La mairie ouvre aussi une grande médiathèque dans le quartier de Grammont, ancien quartier des abattoirs.",La mairie ouvre une grande médiathèque dans le quartier de Grammont.,fr.wikipedia.org/wiki/Op%C3%A9ration_de_r%C3%A9novation_urbaine,"Article avec une section vide ou incomplète, Droit de l'urbanisme en France, Portail:Architecture et urbanisme/Articles liés, Portail:Droit/Articles liés, Portail:Droit français/Articles liés, Portail:Europe/Articles liés, Portail:France/Articles liés, Portail:Société/Articles liés, Renouvellement urbain",Élimination des informations non essentielles
