index,title,sentence,simplified,url,categories,simplification_type,avg_rating_original,avg_rating_simplified
138,Histoire de l'Agence spatiale européenne,Lorsque l'agence spatiale européenne prend le relais de l'ESRO en 1975 elle hérite d'un satellite encore en activité (HEOS-1) et de plusieurs programmes en cours de développement.,"Quand l'agence spatiale européenne remplace l'ESRO en 1975, elle hérite d'un satellite actif (HEOS-1) et de plusieurs programmes en développement.",fr.wikipedia.org/wiki/Histoire_de_l%27Agence_spatiale_europ%C3%A9enne,"Agence spatiale européenne, Article avec une section vide ou incomplète, Article contenant un appel à traduction en anglais, Histoire de l'astronautique, Portail:Astronautique/Articles liés, Portail:Europe/Articles liés, Portail:Histoire/Articles liés, Portail:Histoire des sciences/Articles liés, Portail:Sciences/Articles liés, Portail:Technologies/Articles liés, Portail:Transports/Articles liés, Wikipédia:ébauche astronautique",Élimination des informations non essentielles,3.0,2.2
139,Question ouverte,Une question ouverte est une interrogation qui n'induit pas de réponses préétablies et qui laisse donc à son interlocuteur la possibilité de s'exprimer avec ses propres mots.,Une question ouverte est une interrogation qui permet des réponses non préétablies et qui laisse donc à son interlocuteur la possibilité de s'exprimer avec ses propres mots.,fr.wikipedia.org/wiki/Question_ouverte,"Cadre de travail en psychologie, Homonymie, Portail:Psychologie/Articles liés, Portail:Sciences/Articles liés, Portail:Sciences humaines et sociales/Articles liés",Propositions positives au lieu de négatives,3.4,3.0
140,Sonde de Kiel,Ce type de sonde présente pour avantage de ne pas être sensible aux grands angles d'incidence (2 % jusqu'à 40° d'incidence environ).,Ce type de sonde présente pour avantage d'être insensible aux grands angles d'incidence (2 % jusqu'à 40° d'incidence environ).,fr.wikipedia.org/wiki/Sonde_de_Kiel,"Instrument de mesure de pression, Portail:Aéronautique/Articles liés, Portail:Technologies/Articles liés, Portail:Transports/Articles liés, Technologie aéronautique, Wikipédia:ébauche aéronautique",Propositions positives au lieu de négatives,3.2,2.4
141,Break (musique),"Dans l'argot DJ, un break est un passage où tous les éléments musicaux (voix, basses, etc.), à l'exception des percussions, disparaissent.","Dans l'argot DJ, un break est un passage où tous les éléments musicaux, sauf les percussions, disparaissent.",fr.wikipedia.org/wiki/Break_(musique),"DJing, Portail:Arts/Articles liés, Portail:Danse/Articles liés, Portail:Musique/Articles liés, Portail:Percussions/Articles liés, Rythme, Technique musicale, Vocabulaire de la danse, Wikipédia:ébauche théorie de la musique",Éviter les parenthèses et les incises,1.0,1.2
142,Mise à pied,"Le salarié suspendu n'accède plus à son lieu et moyens de travail, n'effectue plus les tâches prévues, et ne perçoit plus de salaire.","Le salarié suspendu est privé de l'accès à son lieu et moyens de travail, cesse d'effectuer les tâches prévues, et arrête de percevoir un salaire.",fr.wikipedia.org/wiki/Mise_%C3%A0_pied,"Article de Wikipédia avec notice d'autorité, Article utilisant le modèle Dictionnaires inactif, Article à internationaliser, Droit du travail, Page utilisant un modèle Bases inactif, Portail:Droit/Articles liés, Portail:Société/Articles liés, Portail:Travail et métiers/Articles liés, Portail:Économie/Articles liés, Wikipédia:ébauche droit du travail",Propositions positives au lieu de négatives,2.6,2.4
143,Constitution espagnole de 1837,"Ce texte resta en vigueur huit ans, jusqu'à ce que lui soit substitué la Constitution de 1845, de tendance modérée et conservatrice, sous l'impulsion du général Narváez.","Ce texte resta en vigueur huit ans et fut remplacé par la Constitution de 1845, de tendance modérée et conservatrice, sous l'impulsion du général Narváez.",fr.wikipedia.org/wiki/Constitution_espagnole_de_1837,"1837 en Espagne, 1837 en droit, Ancienne constitution, Article manquant de références/Liste complète, Article manquant de références depuis septembre 2008, Article utilisant une Infobox, Constitution de l'Espagne, Histoire de l'Espagne au XIXe siècle, Juin 1837, Portail:Années 1830/Articles liés, Portail:Droit/Articles liés, Portail:Espagne/Articles liés, Portail:Europe/Articles liés, Portail:Histoire/Articles liés, Portail:Politique/Articles liés, Portail:Politique en Espagne/Articles liés, Portail:Société/Articles liés, Portail:XIXe siècle/Articles liés, Portail:Époque contemporaine/Articles liés, Wikipédia:ébauche Espagne, Wikipédia:ébauche droit, Wikipédia:ébauche histoire",Transformation des propositions relatives,2.8,2.0
144,Vieille Forteresse,"La Quadratura dei Pisani a été construite vers 1377, même si certains historiens la font remonter à la construction des murailles du château de Livourne (1392).","On a construit la Quadratura dei Pisani vers 1377, même si certains historiens la font remonter à la construction des murailles du château de Livourne (1392).",fr.wikipedia.org/wiki/Vieille_Forteresse,"Architecture militaire de la province de Livourne, Article contenant un appel à traduction en italien, Article géolocalisé en Italie, Article utilisant une Infobox, Catégorie Commons avec lien local identique sur Wikidata, Château en Toscane, Forteresse de la province de Livourne, Forteresse médicéenne, Monument à Livourne, Page avec coordonnées similaires sur Wikidata, Page avec des cartes, Patrimoine du XVIe siècle, Portail:Architecture et urbanisme/Articles liés, Portail:Châteaux/Articles liés, Portail:Europe/Articles liés, Portail:Histoire/Articles liés, Portail:Histoire militaire/Articles liés, Portail:Italie/Articles liés, Portail:Maritime/Articles liés, Portail:Mer/Articles liés, Portail:Mer Méditerranée/Articles liés, Portail:Toscane/Articles liés, Wikipédia:ébauche Toscane, Wikipédia:ébauche architecture",Formes actives au lieu de passives,2.8,3.4
145,Jirō Takamatsu,"Takamatsu a utilisé la photographie, la sculpture, la peinture, le dessin et la performance pour créer des recherches fondamentales sur les origines philosophiques et matérielles de l'art.","Takamatsu a utilisé la photographie, la sculpture, la peinture, le dessin et la performance. Il a créé des recherches fondamentales sur les origines philosophiques et matérielles de l'art.",fr.wikipedia.org/wiki/Jir%C5%8D_Takamatsu,"Article avec une section vide ou incomplète, Article de Wikipédia avec notice d'autorité, Article utilisant l'infobox Artiste, Article utilisant une Infobox, Article à illustrer Artiste, Article à référence nécessaire, Artiste conceptuel japonais, Artiste contemporain japonais, Décès en juin 1998, Décès à 62 ans, Décès à Tokyo, Graveur japonais du XXe siècle, Naissance en février 1936, Naissance à Tokyo, Page pointant vers des bases externes, Page pointant vers des bases relatives aux beaux-arts, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P1367, Page utilisant P1559, Page utilisant P1988, Page utilisant P2174, Page utilisant P245, Page utilisant P2741, Page utilisant P2843, Page utilisant P4432, Page utilisant P5019, Page utilisant P5567, Page utilisant P6295, Page utilisant P650, Page utilisant P6578, Page utilisant P69, Page utilisant P742, Page utilisant P8406, Peintre japonais du XXe siècle, Performeur, Photographe japonais du XXe siècle, Portail:Arts/Articles liés, Portail:Asie/Articles liés, Portail:Biographie/Articles liés/Culture et arts, Portail:Biographie/Articles liés/Peinture, Portail:Biographie/Articles liés/Photographie, Portail:Gravure/Articles liés, Portail:Japon/Articles liés, Portail:Peinture/Articles liés, Portail:Photographie/Articles liés, Portail:Sculpture/Articles liés, Sculpteur japonais du XXe siècle, Wikipédia:Article biographique, Étudiant de l'université des arts de Tokyo",Réduction de la longueur des phrases,3.0,2.333333333333333
146,Union internationale du cinéma,L'Union internationale du cinéma (abrégé en UNICA) est une association représentée à l'UNESCO et dont le but est la promotion du cinéma et de ses auteurs à travers le monde.,L'Union internationale du cinéma (abrégé en UNICA) est une association représentée à l'UNESCO visant à promouvoir le cinéma et ses auteurs à travers le monde.,fr.wikipedia.org/wiki/Union_internationale_du_cin%C3%A9ma,"Article de Wikipédia avec notice d'autorité, Article utilisant l'infobox Organisation, Article utilisant une Infobox, Article à illustrer Organisation, Association ou organisme lié au cinéma, Organisation des Nations unies pour l'éducation, la science et la culture, Page géolocalisable sans coordonnées paramétrées, Page utilisant P856, Portail:Associations/Articles liés, Portail:Cinéma/Articles liés, Portail:Société/Articles liés, Wikipédia:ébauche association, Wikipédia:ébauche cinéma",Transformation des propositions relatives,2.333333333333333,2.0
147,Accord international sur les bois tropicaux,Il vise à la mise en place de systèmes de certification et des projets visant à la lutte contre la pauvreté dans les pays producteurs de bois tropicaux.,Il vise à mettre en place des systèmes de certification et des projets contre la pauvreté dans les pays producteurs de bois tropicaux.,fr.wikipedia.org/wiki/Accord_international_sur_les_bois_tropicaux,"Droit international de l'environnement, Matières premières, Portail:Biologie/Articles liés, Portail:Bois et forêt/Articles liés, Portail:Botanique/Articles liés, Portail:Conservation de la nature/Articles liés, Portail:Droit/Articles liés, Portail:Environnement/Articles liés, Portail:Finance/Articles liés, Portail:Industrie/Articles liés, Portail:Relations internationales/Articles liés, Portail:Société/Articles liés, Portail:Technologies/Articles liés, Portail:Économie/Articles liés, Projet:Biologie/Pages liées, Ressource naturelle, Traité des Nations unies, Wikipédia:ébauche conservation de la nature, Wikipédia:ébauche droit, Économie du bois",Élimination des informations non essentielles,2.8,1.6
148,Redfern (entreprise),"Autour des années de la Première Guerre mondiale, la maison se fait remarquer dans la presse par ses créations très colorées ; elle est également considérée comme un des maitres du style Gréco-romain de la mode depuis quelques années.","Autour de la Première Guerre mondiale, la maison se fait remarquer par ses créations colorées et est considérée comme un maître du style Gréco-romain.",fr.wikipedia.org/wiki/Redfern_(entreprise),"Article utilisant l'infobox Organisation, Article utilisant une Infobox, Catégorie Commons avec lien local identique sur Wikidata, Costumier britannique, Entreprise britannique disparue, Entreprise de l'habillement ayant son siège au Royaume-Uni, Entreprise disparue en 1940, Entreprise du luxe ayant son siège au Royaume-Uni, Haute couture, Page géolocalisable sans coordonnées paramétrées, Page utilisant P101, Page utilisant P1056, Page utilisant P112, Page utilisant P159, Page utilisant P17, Page utilisant P2716, Page utilisant P31, Page utilisant P571, Page utilisant P576, Page utilisant des données de Wikidata à traduire de l'anglais, Portail:Culture/Articles liés, Portail:Entreprises/Articles liés, Portail:Europe/Articles liés, Portail:France/Articles liés, Portail:Histoire/Articles liés, Portail:Mode/Articles liés, Portail:Paris/Articles liés, Portail:Royaume-Uni/Articles liés, Portail:XIXe siècle/Articles liés, Portail:Économie/Articles liés, Portail:Époque contemporaine/Articles liés, Portail:Île-de-France/Articles liés, Île de Wight",Suppression des clauses complexes,3.6,2.6
149,Zagat,"En 2011, Google annonce le rachat de Zagat qui l'intègre à Google + Local à partir d'avril 2012, le rendant ainsi disponible gratuitement.","En 2011, Google annonce le rachat de Zagat et l'intègre à Google + Local en avril 2012, le rendant disponible gratuitement.",fr.wikipedia.org/wiki/Zagat,"Acquisition de Google, Article contenant un appel à traduction en anglais, Fondation en 1979, Guide gastronomique, Guide touristique, Portail:Loisirs et divertissements/Articles liés, Portail:Tourisme/Articles liés, Wikipédia:ébauche tourisme",Suppression des clauses complexes,2.8,2.0
150,Maître du Hiéron,Il doit sa place aux textes qu’il a illustrés qui sont des écrits importants mais peu diffusés et ignorés par les autres miniaturistes.,"Il doit sa place aux textes importants qu’il a illustrés, peu diffusés et ignorés par les autres miniaturistes.",fr.wikipedia.org/wiki/Ma%C3%AEtre_du_Hi%C3%A9ron,"Article utilisant l'infobox Artiste, Article utilisant le modèle Dictionnaires inactif, Article utilisant une Infobox, Catégorie Commons avec lien local identique sur Wikidata, Enlumineur flamand du XVe siècle, Maître anonyme, Page utilisant P106, Page utilisant P2031, Page utilisant P2032, Page utilisant P737, Page utilisant P937, Page utilisant le modèle Autorité inactif, Page utilisant un modèle Bases inactif, Portail:Arts/Articles liés, Portail:Biographie/Articles liés/Culture et arts, Portail:Enluminure/Articles liés, Portail:Europe/Articles liés, Portail:Flandres/Articles liés, Portail:Histoire/Articles liés, Portail:Moyen Âge/Articles liés, Portail:Moyen Âge tardif/Articles liés, Wikipédia:Article biographique",Suppression des clauses complexes,2.6,2.6
151,Mode (habillement),Ils se sont progressivement transformés en créateurs de tendances pour les grands noms de la distribution internationale.,Ils sont progressivement devenus des créateurs de tendances pour les grands noms de la distribution internationale.,fr.wikipedia.org/wiki/Mode_(habillement),"Article avec une section vide ou incomplète, Article de Wikipédia avec notice d'autorité, Bon article en espéranto, Catégorie Commons avec lien local identique sur Wikidata, Mode, Page pointant vers des bases externes, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P1417, Page utilisant P3365, Page utilisant P4342, Page utilisant P8313, Page utilisant P9281, Page utilisant un modèle Bases inactif, Portail:Arts/Articles liés, Portail:Culture/Articles liés, Portail:Mode/Articles liés, Portail:Société/Articles liés, Psychologie sociale",Formes actives au lieu de passives,3.6,2.4
152,Cour nationale de la tarification sanitaire et sociale,La Cour nationale de la tarification sanitaire et sociale est présidée par le président de la section sociale du Conseil d'État.,Le président de la section sociale du Conseil d'État préside la Cour nationale de la tarification sanitaire et sociale.,fr.wikipedia.org/wiki/Cour_nationale_de_la_tarification_sanitaire_et_sociale,"Article utilisant l'infobox Organisation, Article utilisant une Infobox, Article à illustrer Organisation, Droit de la santé en France, Juridiction administrative en France, Juridiction d'appel en France, Page géolocalisable sans coordonnées paramétrées, Page utilisant P101, Page utilisant P1416, Page utilisant P159, Page utilisant P17, Page utilisant P31, Page utilisant P856, Portail:Droit/Articles liés, Portail:Droit français/Articles liés, Portail:Europe/Articles liés, Portail:France/Articles liés, Portail:Société/Articles liés, Économie de la santé",Formes actives au lieu de passives,2.0,1.2
153,District de Yauri,"Au Pérou, le district de Yauri est l’un des huit districts de la province d'Espinar située dans le département de Cusco.","Au Pérou, le district de Yauri est l’un des huit districts de la province d'Espinar, dans le département de Cusco.",fr.wikipedia.org/wiki/District_de_Yauri,"Article avec une section vide ou incomplète, Article géolocalisé au Pérou, Article utilisant une Infobox, Article à illustrer Subdivision administrative, District dans la région de Cuzco, Infobox Subdivision administrative - Page faisant un appel direct au modèle, Page avec des cartes, Page géolocalisée par Wikidata, Portail:Amérique/Articles liés, Portail:Amérique du Sud/Articles liés, Portail:Pérou/Articles liés, Wikipédia:ébauche Pérou, Wikipédia:ébauche géographie",Formes actives au lieu de passives,2.0,2.2
154,Comines (Nord),"Ce défilé est franco-belge ; de nos jours, il commence en Belgique et se termine sur la place de Comines en France.",Ce défilé commence en Belgique et se termine à Comines en France.,fr.wikipedia.org/wiki/Comines_(Nord),"Aire d'attraction de Lille (partie française), Armorial des communes du Nord, Article avec module Population de France, Article avec modèle Blason-ville-fr, Article avec modèle Infobox Commune de France, Article avec une section vide ou incomplète, Article géolocalisé en France, Article géolocalisé sur Terre, Article utilisant une Infobox, Catégorie Commons avec lien local différent sur Wikidata, Catégorie Commons avec lien local identique sur Wikidata, Comines (Nord), Commune dans le département du Nord, Commune de la métropole européenne de Lille, Flandre romane, Page avec coordonnées similaires sur Wikidata, Page avec des cartes, Page utilisant une frise chronologique, Portail:Communes de France/Articles liés, Portail:Europe/Articles liés, Portail:Flandres/Articles liés, Portail:France/Articles liés, Portail:Hauts-de-France/Articles liés, Portail:Lille Métropole/Articles liés, Portail:Nord-Pas-de-Calais/Articles liés, Unité urbaine de Lille (partie française), Village franco-belge, Ville divisée, Ville décorée de la croix de guerre 1914-1918",Omission des mots redondants,3.0,1.6
155,Hospitaliers-Sauveteurs bretons,"Pour faire face à cette nouvelle situation, les HSB postent des sauveteurs équipés de doris à avirons dans les endroits critiques.",Les HSB postent des sauveteurs équipés de doris à avirons dans les endroits critiques.,fr.wikipedia.org/wiki/Hospitaliers-Sauveteurs_bretons,"Article utilisant l'infobox Organisation, Article utilisant une Infobox, Article à illustrer Organisation, Association ou organisme lié à la mer en Bretagne, Organisme fondé en 1873, Page géolocalisable sans coordonnées paramétrées, Page utilisant P1366, Page utilisant P17, Page utilisant P31, Page utilisant P571, Page utilisant P576, Portail:Associations/Articles liés, Portail:Maritime/Articles liés, Portail:Premiers secours et secourisme/Articles liés, Portail:Société/Articles liés, Portail:Sécurité civile et sapeurs-pompiers/Articles liés, Premiers secours, Service de secours en France, Sécurité maritime en France",Suppression des clauses complexes,2.0,1.4
156,Hôtel de ville de Münster,"On a d'abord une maison à colombages, remplacée vers 1200 par un bâtiment en pierre auquel on adjoint une haute façade au milieu du XIVe siècle.",Les maisons à colombages sont remplacées par des bâtiments en pierre avec une haute façade au XIVe siècle.,fr.wikipedia.org/wiki/H%C3%B4tel_de_ville_de_M%C3%BCnster,"Article de Wikipédia avec notice d'autorité, Article de qualité en allemand, Article géolocalisé en Allemagne, Article utilisant l'infobox Monument, Article utilisant le modèle Dictionnaires inactif, Article utilisant une Infobox, Hôtel de ville en Allemagne, Münster, Page avec des cartes, Page géolocalisée par Wikidata, Page utilisant P1435, Page utilisant P18, Page utilisant P2048, Page utilisant P31, Page utilisant P571, Page utilisant P669, Page utilisant un modèle Bases inactif, Page utilisant une adresse fournie par Wikidata, Portail:Allemagne/Articles liés, Portail:Architecture et urbanisme/Articles liés, Portail:Europe/Articles liés, Portail:Rhénanie-du-Nord-Westphalie/Articles liés, Wikipédia:ébauche architecture, Wikipédia:ébauche histoire",Suppression des clauses complexes,4.2,1.6
157,Henry Morton Stanley,"Après cinq années les routes de Stanley et de Léopold II se séparent de manière officielle, cependant Stanley demeure secrètement à la solde du roi.","Après cinq ans, Stanley et Léopold II se séparent officiellement, mais Stanley reste secrètement au service du roi.",fr.wikipedia.org/wiki/Henry_Morton_Stanley,"Article de Wikipédia avec notice d'autorité, Article utilisant l'infobox Biographie2, Article utilisant l'infobox Biographie2 avec la charte exploration, Article utilisant une Infobox, Aventurier britannique, Bon article en allemand, Bon article en norvégien, Catégorie Commons avec lien local identique sur Wikidata, Chevalier grand-croix de l'ordre du Bain, Docteur honoris causa de l'université de Durham, Décès en mai 1904, Décès à 63 ans, Décès à Londres, Député du 26e Parlement du Royaume-Uni, Député du Parti conservateur (Royaume-Uni), Explorateur britannique du XIXe siècle, Explorateur de l'Afrique, Journaliste britannique du XIXe siècle, Léopold II (roi des Belges), Naissance dans le Denbighshire, Naissance en janvier 1841, Page pointant vers des bases externes, Page pointant vers des bases relatives aux beaux-arts, Page pointant vers des bases relatives à la musique, Page pointant vers des bases relatives à la recherche, Page pointant vers des bases relatives à la vie publique, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P102, Page utilisant P106, Page utilisant P109, Page utilisant P119, Page utilisant P1296, Page utilisant P1415, Page utilisant P1417, Page utilisant P1442, Page utilisant P1477, Page utilisant P166, Page utilisant P1816, Page utilisant P19, Page utilisant P1953, Page utilisant P20, Page utilisant P2015, Page utilisant P2268, Page utilisant P26, Page utilisant P27, Page utilisant P2732, Page utilisant P3219, Page utilisant P3222, Page utilisant P3544, Page utilisant P39, Page utilisant P40, Page utilisant P434, Page utilisant P4342, Page utilisant P4823, Page utilisant P485, Page utilisant P5019, Page utilisant P569, Page utilisant P570, Page utilisant P6058, Page utilisant P607, Page utilisant P6404, Page utilisant P6872, Page utilisant P701, Page utilisant P7666, Page utilisant P7685, Page utilisant P7902, Page utilisant P7982, Page utilisant P8313, Page utilisant des données de Wikidata à traduire de l'anglais, Personnalité ayant donné son nom à une ville, Personnalité de l'Union Navy, Personnalité de l'État indépendant du Congo, Portail:Afrique/Articles liés, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Années 1860/Articles liés, Portail:Biographie/Articles liés/Culture et arts, Portail:Biographie/Articles liés/Entreprises, Portail:Biographie/Articles liés/Politique, Portail:Exploration/Articles liés, Portail:Guerre de Sécession/Articles liés, Portail:Histoire/Articles liés, Portail:Histoire militaire/Articles liés, Portail:Journalisme/Articles liés, Portail:Médias/Articles liés, Portail:Société/Articles liés, Portail:XIXe siècle/Articles liés, Portail:Époque contemporaine/Articles liés, Portail:États-Unis/Articles liés, Représentant de l'Angleterre à la Chambre des communes, Récipiendaire de la médaille Vega, Wikipédia:Article biographique",Substitution de mots complexes,2.8,2.6
158,Grenoble olympique universitaire,"Le Grenoble olympique universitaire est un club omnisports français basé à Grenoble, disparu dans les années 1950.",Le Grenoble olympique universitaire était un club omnisports français basé à Grenoble.,fr.wikipedia.org/wiki/Grenoble_olympique_universitaire,"Article utilisant une Infobox, Club omnisports en France, Club sportif disparu au XXe siècle, Club sportif fondé en 1919, Club sportif à Grenoble, Portail:Auvergne-Rhône-Alpes/Articles liés, Portail:Europe/Articles liés, Portail:France/Articles liés, Portail:Grenoble/Articles liés, Portail:Grenoble Métropole/Articles liés, Portail:Isère/Articles liés, Portail:Sport/Articles liés, Wikipédia:ébauche Isère, Wikipédia:ébauche sport",Suppression des clauses complexes,1.8,1.2
159,Philosophie du sport,"En France, Pierre de Coubertin fut sans doute le premier et le plus important des théoriciens du sport.","En France, Pierre de Coubertin fut sans doute le premier et le plus important théoricien du sport.",fr.wikipedia.org/wiki/Philosophie_du_sport,"Article pouvant contenir un travail inédit, Article utilisant le modèle Dictionnaires inactif, Article à internationaliser, Article à référence nécessaire, Article à wikifier/Liste complète, Article à wikifier depuis mai 2023, Branche de la philosophie, Culture du sport, Page pointant vers des bases externes, Page pointant vers des bases relatives à la recherche, Page utilisant P3123, Page utilisant le modèle Autorité inactif, Portail:Philosophie/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Société/Articles liés, Portail:Sport/Articles liés",Omission des mots redondants,1.6,1.4
160,Musée historique de Francfort,"Une autre collection, donnée en 1845, comprend plus de 200 tableaux de peintres locaux et hollandais des XVIIIe et XIXe siècles.",Une autre collection comprend plus de 200 tableaux de peintres locaux et hollandais des XVIIIe et XIXe siècles.,fr.wikipedia.org/wiki/Mus%C3%A9e_historique_de_Francfort,"Article contenant un appel à traduction en allemand, Article géolocalisé en Allemagne, Article utilisant l'infobox Musée, Article utilisant une Infobox, Bâtiment à Francfort-sur-le-Main, Catégorie Commons avec lien local identique sur Wikidata, Musée d'une ville, Musée fondé en 1878, Musée à Francfort-sur-le-Main, Page avec coordonnées similaires sur Wikidata, Page avec des cartes, Page avec des données de géolocalisation non prises en charge, Page utilisant P154, Page utilisant P31, Portail:Allemagne/Articles liés, Portail:Culture/Articles liés, Portail:Europe/Articles liés, Portail:Francfort-sur-le-Main/Articles liés, Portail:Hesse/Articles liés, Portail:Histoire/Articles liés, Portail:Musées/Articles liés, Portail:Tourisme/Articles liés",Suppression des clauses complexes,3.5,3.0
161,Syndrome des urines violettes,"La décoloration violette du sac d'urine est souvent la seule constatation, fréquemment notée par les soignants.",La décoloration violette du sac d'urine est souvent la seule constatation notée.,fr.wikipedia.org/wiki/Syndrome_des_urines_violettes,"Article orphelin/Liste complète, Article utilisant une Infobox, Image locale sans image sur Wikidata, Maladie en urologie, Page utilisant P828, Portail:Biologie/Articles liés, Portail:Médecine/Articles liés, Portail:Sciences/Articles liés, Projet:Médecine/Infobox Maladie dont l'image est à vérifier, Syndrome, Urine, Wikipédia:Tentative d'adoption en janvier 2023",Suppression des clauses complexes,3.2,2.2
162,Trampoline aux Jeux mondiaux de 2017,Les épreuves de trampoline des Jeux mondiaux de 2017 ont lieu du 24 juillet au 26 juillet 2017 à Wrocław.,Les compétitions de trampoline des Jeux mondiaux de 2017 se déroulent du 24 juillet au 26 juillet 2017 à Wrocław.,fr.wikipedia.org/wiki/Trampoline_aux_Jeux_mondiaux_de_2017,"Article contenant un appel à traduction en anglais, Article contenant un appel à traduction en néerlandais, Article utilisant une Infobox, Jeux mondiaux de 2017, Portail:Années 2010/Articles liés, Portail:Europe/Articles liés, Portail:Pologne/Articles liés, Portail:XXIe siècle/Articles liés, Portail:Époque contemporaine/Articles liés, Trampoline aux Jeux mondiaux, Wikipédia:ébauche Pologne, Wikipédia:ébauche sport",Substitution de mots complexes,2.8,2.0
163,Liste des districts de Florianópolis,"Liste des districts de la municipalité de Florianópolis, capitale de l'État de Santa Catarina, au Brésil.","Liste des quartiers de la ville de Florianópolis, capitale de l'État de Santa Catarina, au Brésil.",fr.wikipedia.org/wiki/Liste_des_districts_de_Florian%C3%B3polis,"District à Florianópolis, Liste en rapport avec le Brésil, Portail:Amérique/Articles liés, Portail:Amérique du Sud/Articles liés, Portail:Brésil/Articles liés, Portail:Florianópolis/Articles liés, Portail:Géographie/Articles liés, Portail:Lusophonie/Articles liés, Portail:Santa Catarina/Articles liés, Wikipédia:ébauche géographie",Substitution de mots complexes,3.0,2.2
164,Massey Ferguson 148,"Le Massey Ferguson 148 est un tracteur agricole produit de 1972 à 1976 par le constructeur américain de matériels agricoles, Massey Ferguson.","Le Massey Ferguson 148 est un tracteur agricole fabriqué de 1972 à 1976 par la société américaine de machines agricoles, Massey Ferguson.",fr.wikipedia.org/wiki/Massey_Ferguson_148,"Article avec une section vide ou incomplète, Portail:Agriculture et agronomie/Articles liés, Portail:Biologie/Articles liés, Projet:Biologie/Pages liées, Tracteur agricole Massey Ferguson, Wikipédia:ébauche agriculture de mots complexes",Substitution de mots complexes,4.333333333333333,3.333333333333333
165,Platine à mèche,À la platine est fixée une pièce en « S » appelée serpentin ou serpentine sur laquelle on fixe la mèche allumée.,Sur la platine est fixée une pièce en « S » appelée serpentin ou serpentine où l'on attache la mèche allumée.,fr.wikipedia.org/wiki/Platine_%C3%A0_m%C3%A8che,"Arme à feu, Portail:Armes/Articles liés, Portail:Histoire militaire/Articles liés, Portail:Technologies/Articles liés, Wikipédia:ébauche arme, Wikipédia:ébauche histoire, Équipement militaire de l'époque moderne",Substitution de mots complexes,1.8,1.6
166,Sky lobby,"Ce n'est pas un sky lobby, car les résidents peuvent également prendre des ascenseurs vers des étages supérieurs au 44e étage.","Ce n'est pas un sky lobby, car les résidents peuvent aussi prendre des ascenseurs pour aller au-delà du 44e étage.",fr.wikipedia.org/wiki/Sky_lobby,"Article contenant un lien mort, Article manquant de références/Liste complète, Article manquant de références depuis juin 2023, Ascenseur, Portail:Architecture et urbanisme/Articles liés, Salle, Wikipédia:ébauche architecture",Substitution de mots complexes,2.4,1.8
167,Avance d'argent,L'avance d'argent est un montant payé par une partie à une autre avant tout commencement d'exécution d'une convention écrite ou verbale.,L'avance d'argent est une somme payée par une partie à une autre avant le début d'une entente écrite ou verbale.,fr.wikipedia.org/wiki/Avance_d%27argent,"Article manquant de références/Liste complète, Article manquant de références depuis juin 2016, Contrat, Document commercial, Portail:Commerce/Articles liés, Portail:Droit/Articles liés, Portail:Finance/Articles liés, Portail:Société/Articles liés, Portail:Économie/Articles liés, Wikipédia:ébauche droit, Wikipédia:ébauche finance",Substitution de mots complexes,4.0,3.0
168,Philosophie,"Plus précisément, les philosophies bouddhistes ne perdent jamais de vue les préoccupations sotériologiques.","Plus précisément, les philosophies bouddhistes gardent toujours à l'esprit les préoccupations sotériologiques.",fr.wikipedia.org/wiki/Philosophie,"Article avec section à recycler, Article avec une section vide ou incomplète, Article contenant un appel à traduction en anglais, Article contenant un lien mort, Article de Wikipédia avec notice d'autorité, Article de qualité en allemand, Article de qualité en anglais, Article de qualité en croate, Article de qualité en islandais, Article de qualité en ouzbek, Article de qualité en sanskrit, Article de qualité en volapük, Article utilisant l'infobox Discipline, Article utilisant une Infobox, Article à référence nécessaire, Bon article en yoruba, Catégorie Commons avec lien local identique sur Wikidata, Page pointant vers des bases externes, Page pointant vers des bases relatives à la recherche, Page pointant vers des bases relatives à la santé, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P1417, Page utilisant P18, Page utilisant P2184, Page utilisant P2578, Page utilisant P279, Page utilisant P3095, Page utilisant P3123, Page utilisant P3219, Page utilisant P3222, Page utilisant P3365, Page utilisant P4223, Page utilisant P4342, Page utilisant P486, Page utilisant P527, Page utilisant P6058, Page utilisant P8313, Page utilisant une frise chronologique, Philosophie, Portail:Philosophie/Articles liés, Portail:Philosophie analytique/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Société/Articles liés, Éponyme d'un objet céleste",Propositions positives au lieu de négatives,4.333333333333333,2.75
